2018-05-08 15:29:26,362 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:29:40,322 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:30:40,490 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:30:58,701 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:32:22,822 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:41:29,421 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:44:35,578 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:44:50,405 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:46:21,457 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:46:55,578 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 17:56:22,278 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 18:24:05,595 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 18:30:09,132 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 19:49:03,026 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 19:49:59,516 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 20:22:22,650 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 21:49:12,737 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 21:50:17,101 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 21:55:59,637 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 00:06:32,798 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 09:49:05,822 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 09:52:53,049 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 10:43:07,364 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 10:44:21,403 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 10:49:10,183 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:00:28,898 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:23:54,892 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:23:54,937 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 11:26:54,473 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:26:54,516 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 11:29:52,664 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:29:52,704 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 11:33:46,848 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:33:46,888 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 11:40:14,436 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:40:14,484 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 11:51:03,329 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-09 11:51:03,385 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-09 14:01:14,592 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-14 18:03:57,206 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-15 17:31:44,490 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-17 19:50:27,078 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-05-17 21:52:22,329 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-17 23:09:34,661 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-05-18 00:07:10,849 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-05-18 01:17:41,178 | app | WARNING | [WARNING] '1' chips are defective on miner '192.168.2.32'.
2018-05-19 11:54:08,411 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-19 15:18:33,081 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-19 16:31:42,523 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-06-06 09:36:44,471 | app | WARNING | [WARNING] '85' chips are defective on miner '192.168.2.30'.
2018-06-06 09:36:51,003 | app | WARNING | [WARNING] '85' chips are defective on miner '192.168.2.30'.
2018-06-21 09:26:55,135 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
